admin_2,cultivar,crps,ss,los,cultivar_type
Tsholotsho,KY0013,124.9462666666667,0.22793244078269803,125.0,Long
Tsholotsho,KY0003,125.14346666666671,0.22671390319258478,129.0,Long
Tsholotsho,KY0010,130.50033333333337,0.19361277033985558,122.0,Long
Tsholotsho,KY0002,131.984,0.1844449021627188,115.0,Medium
Tsholotsho,KY0001,133.36273333333338,0.17592543769309965,126.0,Long
Umguza,ZM0003,309.5807333333334,0.30535362752430806,105.0,Short
Umguza,KY0005,311.3458666666667,0.30139296933433046,132.0,Long
Umguza,ZM0002,311.571,0.30088780852655195,118.0,Medium
Umguza,KY0011,323.35926666666666,0.27443694839192223,139.0,Long
Umguza,ZM0001,330.8096666666667,0.2577195213163799,117.0,Medium
Beitbridge Rural,KY0013,133.71988588088297,0.3903348668044849,118.0,Long
Beitbridge Rural,KY0002,147.61781125418418,0.32697046540645514,108.0,Medium
Beitbridge Rural,KY0003,168.1644963765098,0.23329256971196144,122.0,Long
Beitbridge Rural,KY0010,197.5697333333333,0.0992261398176294,114.0,Long
Beitbridge Rural,KY0001,209.21615074274607,0.046126972297510394,117.0,Long
Bulilima,KY0010,116.77273333333333,0.3766580071174378,127.0,Long
Bulilima,KY0002,122.16486666666668,0.3478743772241992,119.0,Medium
Bulilima,KY0003,127.5336666666667,0.3192153024911031,137.0,Long
